"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
"John Jurasek","Peter Foy",,https://www.youtube.com/watch?v=wNSC3EGcJLE,,,,,nite,i---,seelie,0,,,,male,-1,-1,-1,,,,,2,2,,4,4,2,,7,,,2,2,4,7,7,,,7,2,2,2,4,2,4,,,,4,4,,4,7,4,4,2,7,,,,,,,,4,,,7,7,7,7,,4,4,,,,,,,,,,,4,,2,,
"Dave Bayley","Calin Copil","Dave Bayley, born June 7, 1989, is best known as the lead vocalist of British indie rock band, Glass Animals. Born in Massachusetts, he grew up in Oxford, England, where he formed the band in 2010. A neuroscientist by education, Bayley's eclectic musical influences range from hip hop to indie rock, resulting in Glass Animals' unique psychedelic pop sound. Despite career-threatening challenges, he led the band to global recognition with his innovative songwriting and production.",https://www.youtube.com/watch?v=hatAzwoxGeg&ab_channel=TheProject,https://www.youtube.com/watch?v=_e-tRX7ysIo&t=633s,https://www.youtube.com/watch?v=cDb4X0GyeSk&t=193s,https://docs.google.com/document/d/1xM8ER6XXFruxR2ZOrEUIOlfvzxiA34LGrzVi4xUwC8g/edit,,nefi,i-i-,seelie,1,low,low,,male,1980s,australia/new_zeland,white/european,,juan_e._sandoval,,,2,4,,7,7,7,4,4,7,4,7,4,2,,,2,,,4,2,,4,7,2,,,,2,4,2,2,,7,2,7,2,4,,,2,2,,,,,,,2,,,,2,2,,7,2,7,,,,7,,2,2,,,2,
"Richard Lindzen","Calin Copil",,https://www.youtube.com/watch?v=RUBrV0VFcbY,,,https://bit.ly/3XCAG4M,,nife,i---,directive,2,,,,male,-1,-1,-1,,,,,,,,2,2,,2,,,2,,,2,7,7,4,4,7,2,,2,4,,,,,,,2,,,,,,,,,,2,2,4,4,,,7,,4,2,7,2,2,,,,,,,,,,,,,2,,2,,2
"Richard Brody","Nathaniel Vetter","Richard Brody is a prominent film critic known for his insightful analyses and interpretations of cinema. As a staff writer at The New Yorker, he provides thoughtful reviews and commentary on a wide range of films, from classics to contemporary releases. Brody's writing often delves into the cultural and societal implications of cinema, exploring themes such as identity, politics, and artistic expression. He is widely respected for his nuanced perspectives and deep understanding of film history and theory.",https://youtu.be/0838MJxW0ic,https://youtu.be/Ai2Xv97Qf2Y,,,,sife,ii--,adaptive,0,,,,male,1950s,north_america,jewish,,"peter_j._foy | nathaniel_d._vetter",4,,,2,,2,4,2,4,,,,,,2,2,7,4,4,4,4,4,,4,4,,2,,7,4,,,,,,,,,,4,4,4,4,2,4,2,4,,,,,,2,,,,7,4,4,2,4,4,2,,,,,,,
"Tang Wei","Nathaniel Vetter",,https://youtu.be/AgXQNAoeNAU,https://youtu.be/m2FhRJZ-Ijg,https://youtu.be/3l5uMY2AjGY,,,tise,ii-i,adaptive,0,,,,female,-1,-1,-1,,,4,4,2,,4,2,,4,4,,2,4,4,7,2,,,4,,,4,2,2,4,4,4,4,4,4,7,,,,,,,,,,4,4,4,7,4,4,,4,,4,2,4,,4,4,,,,4,,,4,,4,,2,4,,,,
"Brandon Sanderson","Nathaniel Vetter",,https://youtu.be/3U4QCamdLas,,,,,nefi,i-i-,seelie,0,,,,male,-1,-1,-1,,,2,,4,4,2,4,4,4,7,7,4,4,4,7,2,,,4,2,,4,4,2,7,4,,,,,,7,4,4,2,2,4,4,7,4,,,,,,4,,,,,,,,,,2,,4,4,7,4,4,4,7,2,4,4,,,,
"Daniel Kaluuya","Nathaniel Vetter",,https://youtu.be/el95daGfpGI,https://youtu.be/THWSA5aNeak,,,,seti,i---,adaptive,0,,,,male,-1,-1,-1,,,,,,,,4,7,4,4,4,7,4,4,7,7,,,,,,4,2,2,4,,,4,2,,,4,,,,,,,,,2,7,7,4,,4,4,7,,4,4,4,4,4,4,4,4,,,,,,,,,2,4,,,,
"George Scholey","Calin Copil","George Scholey is a British Rubik's Cube enthusiast and skateboarder who set a Guinness World Record by solving 6,931 Rubik's Cubes in 24 hours. This record-breaking event took place in a London hotel room and was live-streamed. Scholey surpassed the previous record of 5,800 cubes, showcasing his exceptional speedcubing skills and concentration over an entire day.",https://www.youtube.com/watch?v=kWp8EJcorPU,,,,,seti,i---,adaptive,0,,,,male,-1,-1,-1,,,0,,2,2,,7,7,7,7,7,7,7,7,7,,,2,2,2,,,2,2,4,2,2,2,,,2,2,,,,4,,,,,7,4,4,,4,2,4,2,,4,2,2,4,7,4,4,7,,2,2,,,2,2,,2,4,2,,,2
"Jillian Michaels","Calin Copil",,https://www.youtube.com/watch?v=_IqhqwuLGpE,,,,,feni,i---,directive,0,,,,female,-1,-1,-1,,,7,4,7,7,,,,,2,,,4,,,2,,,2,2,,7,7,,4,7,,7,,,4,4,,2,,4,,2,,,2,7,7,7,,7,7,7,,4,2,7,,7,2,,,,4,,2,,2,,,2,,2,2,4,4
"Sanaë Lemoine","Calin Copil","Sanaë Lemoine is a French-American author known for her eloquent and prose writing style in her debut novel ""The Margot Affair."" Lemoine explores the complexities of identity, relationships, and family secrets through keen observation and nuanced storytelling. Her writing focuses on portraying the emotional depth of her characters, making their journeys resonate with readers. With her unique narrative voice and lyrical control, Lemoine has established herself as a promising talent in the world of literature.",https://www.youtube.com/watch?v=G1Rm3_2iHvE,https://www.youtube.com/watch?v=Rs5wvyQCWAE&t=958s,https://www.youtube.com/watch?v=bY0nym-z3qw,https://docs.google.com/document/d/1lp9pE-4XVHV-qzSQaqgm7vQcKzuP5Fp8U3o-Yi-pFB8/edit,,fine,ii--,seelie,1,,,,female,-1,north_america,other/unknown,,"juan_e._sandoval | calin_copil | peter_j._foy",7,4,7,7,4,,2,4,2,,2,4,4,2,4,,,2,2,,2,2,,4,2,4,7,4,4,7,7,4,7,7,2,,2,2,7,,,,,,2,2,,,,,,,2,2,,,2,4,2,4,4,2,4,,2,2,0,,,2
"Greg Alba","Calin Copil",,https://www.youtube.com/watch?v=XA004y2KSBk,,,https://bit.ly/3WuyQlg,,nefi,i-i-,seelie,0,low,low,,male,-1,-1,-1,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy",2,2,4,4,,4,4,4,7,4,4,7,4,4,4,,,2,2,,2,2,7,7,7,,2,,,2,4,7,2,2,2,2,4,4,,2,,,,4,2,4,,,,2,,,2,,,2,4,2,4,2,7,2,2,2,,2,4,,2,2
"Scott Aaronson","Peter Foy","Scott Aaronson is an American computer scientist and theoretical physicist known for his work in the field of quantum computing and complexity theory. Aaronson has made significant contributions to quantum algorithms and has explored the philosophical implications of quantum mechanics, particularly related to computational complexity. He serves as a professor at the University of Texas at Austin and actively communicates complex scientific concepts to the general public through his blog and lectures, making him a prominent figure in science communication.",https://www.youtube.com/watch?v=BvVciA5iXH4&t,https://www.youtube.com/watch?v=nAMjv0NAESM,https://www.youtube.com/watch?v=SPIJhPW9n64&t,https://docs.google.com/document/d/1i6R_SV66hBVk-9bEFE3MwYNdF1rRHgykmF3JgFJeRF0/edit,,nefi,i-ii,seelie,0,,,,male,1980s,north_america,jewish,,"juan_e._sandoval | peter_j._foy",,,,,,4,4,7,4,7,7,2,4,4,4,2,7,2,2,7,4,7,4,4,4,,,,,,7,4,7,4,,7,7,7,,,,,,,,,,,,,,,,2,2,,7,2,7,2,2,4,,,,7,,,,
"Heather Baron-Gracie","Peter Foy","Heather Baron-Gracie is a British musician and lead vocalist and guitarist of the indie rock band Pale Waves. The band gained popularity with their dreamy and nostalgic sound, drawing influences from 80s pop and alternative rock. Baron-Gracie's introspective nature and vulnerability are evident in her lyrics, which explore themes of love, heartbreak, and personal struggles. With her dynamic stage presence and unique fashion sense, she has become an influential figure in the indie music scene. ",https://www.youtube.com/watch?v=lhz22hKQgPY&t,https://www.youtube.com/watch?v=_ARmi9Oy86g&t,https://www.youtube.com/watch?v=islY29DS6Ww&t,https://docs.google.com/document/d/1ENuK3Ujpn-deydSVk54JlsujGuAB6gAZnZtWpwOHLSY/edit,pending,sefi,ii--,unseelie,0,high,low,,female,1990s,western_europe,white/european,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy",2,2,,2,,4,4,7,4,4,7,,7,2,2,2,2,4,2,,2,2,,2,2,7,7,2,,4,2,,2,2,4,7,7,4,,4,7,4,4,4,,,,,7,7,7,2,4,4,2,7,,,,,,,,,2,2,2,2,2,4
"David Fincher","Nathaniel Vetter","David Fincher is a renowned American filmmaker known for his meticulous and visually striking style. He has directed critically acclaimed films such as ""Seven,"" ""Fight Club,"" ""The Social Network,"" and ""Gone Girl."" Fincher's work often explores dark themes and complex characters, earning him numerous awards and nominations. He is also recognized for his contributions to television, including the hit series ""House of Cards"" and ""Mindhunter.""",https://youtu.be/wxDjCyyfRNw,https://youtu.be/cPYsxM3_3t0,https://youtu.be/mlVsIqpMXIs,,,sife,ii-i,directive,0,,,,male,1960s,north_america,white/european,,"calin_copil | peter_j._foy | nathaniel_d._vetter",2,0,4,4,2,4,7,2,4,4,2,4,4,7,2,7,4,2,4,7,4,4,7,4,4,,,,,,,,,2,2,,,,,4,7,4,7,4,4,,4,,2,,2,,2,4,4,2,2,4,4,4,7,2,4,2,,,,,2,2
"Nina Kraviz","Peter Foy","Nina Kraviz is a Russian DJ, producer, and singer who is known for her energetic DJ sets that blend various sub-genres of techno and house music. Her DJ sets are often described as dynamic, captivating, and immersive experiences. She has a unique talent for creating an intense and hypnotic atmosphere on the dancefloor drawing listeners into her sonic journey. With her infectious personality and fun-loving approach to life, Nina Kraviz continues to be a prominent figure in the electronic music scene.",https://www.youtube.com/watch?v=p8Y9pis0bJw&t,https://www.youtube.com/watch?v=-52yrySWTKY,,,pending,seti,i---,adaptive,0,,low,,female,1980s,central_asia,other/unknown,,"juan_e._sandoval | calin_copil | peter_j._foy",4,2,2,,,7,4,7,2,7,7,7,4,2,7,,,,,,,,2,2,2,2,2,,2,,2,,,,,2,,,,7,4,4,7,2,2,2,7,,4,2,7,,7,7,,7,7,,4,2,2,,,,4,7,4,,,
"Sorelle Amore","Calin Copil","Sorelle Amore is an Australian photographer, filmmaker, and social media influencer known for her empowering content focused on self-love, personal development, and financial literacy. With a strong emphasis on promoting body positivity and self-acceptance, she inspires her audience through authentic storytelling and motivational messages. Through her engaging vlogs and social media presence, Sorelle encourages individuals to embrace their uniqueness, pursue their passions, and cultivate a positive mindset for personal growth and fulfillment.",https://www.youtube.com/watch?v=P_I1Lr4MWbE&ab_channel=SorelleAmoreFinance,https://www.youtube.com/watch?v=_tFSO7LtS-w,https://www.youtube.com/watch?v=3z9XLRdCZtY,https://docs.google.com/document/d/1PJFTcX5LpvozqhiHO_emyOxrdiXzxBIaGUndp13VplU/edit,,teni,i-i-,seelie,0,low,high,TeSi,female,1990s,australia/new_zeland,white/european,,"calin_copil | peter_j._foy",4,7,4,4,4,,,2,4,,2,4,2,2,7,,,2,4,,7,7,4,7,7,,2,,2,2,4,7,7,4,7,7,7,7,4,2,2,2,,,2,2,0,2,7,,7,4,4,2,,,,4,,2,4,2,7,2,,7,,,,
"Dua Lipa","Calin Copil",,https://www.youtube.com/watch?v=dqdqOlL3aTQ&ab_channel=RollingStone,,,,,fise,i---,unseelie,1,,,,female,-1,-1,-1,,,4,4,4,4,7,,2,,4,,2,7,,4,,,,2,,,2,2,2,4,2,7,4,4,4,7,4,7,4,4,4,2,4,2,7,,,,,,,,,2,7,4,4,,7,2,4,2,,,,,,,,,2,,2,,2,2
"Raoul Pal","Calin Copil",,https://www.youtube.com/watch?v=0wJA_KHfZ6g,,,,,teni,i-i-,unseelie,2,,,,male,-1,-1,-1,,,4,4,7,7,4,2,2,2,4,,2,4,2,4,7,,2,4,2,,7,7,4,7,7,,2,,2,2,4,7,7,4,4,7,7,7,2,0,,,,,2,,,,2,4,4,7,7,7,,4,,4,,,,,,,,2,2,,7,7
"Joe Abercrombie","Nathaniel Vetter",,https://youtu.be/qdOd4SxfViQ,https://youtu.be/IW-s2PDvNIw,https://youtu.be/WNHbYVN6p9o,,,seti,i-i-,adaptive,1,,,,male,-1,-1,-1,,,,,,2,,4,4,7,4,4,4,7,4,4,4,,2,,4,,4,4,4,4,,,,,2,2,2,,,2,2,4,2,4,,7,4,4,4,2,4,,,,4,4,2,7,4,7,4,7,,,4,2,4,,2,,4,7,,,,
Dee,"Calin Copil",,https://www.youtube.com/watch?v=NhLs8ieXSCk&ab_channel=t,,,,,tise,ii--,adaptive,0,,,,female,-1,-1,-1,,,7,7,4,4,4,2,2,2,2,,2,7,2,4,2,2,,4,2,,2,2,,,2,7,7,7,7,7,,,,,,,,,,7,7,7,7,7,4,4,7,7,7,2,7,2,7,2,2,2,,,,,,,,,2,2,2,,2,2
Vincent,"Ash Rose",,https://www.youtube.com/watch?v=i5fL9ZDs7CY,,,,,sefi,i---,unseelie,2,,,,male,-1,-1,-1,,peter_j._foy,,,,,,7,4,7,7,2,7,7,4,7,4,,,4,4,,2,2,2,,2,,2,2,2,2,2,4,4,4,2,7,4,4,2,,,,,4,,,,,4,4,2,2,4,7,,4,,,,,2,,,4,,,,7,4,4
"Robert Eggers","Nathaniel Vetter",,https://youtu.be/MkttnPORelw,https://youtu.be/xsYvZjFc4CM,https://youtu.be/_9GlxmVOU38,,,tise,ii-i,adaptive,0,,,,male,-1,-1,-1,,"peter_j._foy | nathaniel_d._vetter",4,4,4,2,2,,,,,,4,2,4,7,2,4,2,2,,,4,4,2,4,,7,7,4,4,4,,,,,,,,,,7,4,4,7,2,4,4,2,2,4,4,2,2,4,4,4,7,,,,,,,,,2,4,,,,
"Mustafa Al-Bassam","Peter Foy","Mustafa Al-Bassam is a cybersecurity researcher and computer scientist known for his early involvement with the hacktivist group LulzSec. At a young age, he was part of operations that targeted various organizations, including corporations and government agencies. After facing legal repercussions, he turned to a more constructive path, focusing on cybersecurity research and ethical hacking. Mustafa has contributed to academic research in the field of computer security, spoken at several industry conferences, and worked on initiatives to improve online privacy and security. His journey from hacktivist to researcher offers a unique perspective on the ethical dimensions of cybersecurity.",https://www.youtube.com/watch?v=HXXoO0FwUKQ,https://www.youtube.com/watch?v=8uF7RVF2osk,https://www.youtube.com/watch?v=ICfNAE1vWn8,,,site,i---,unseelie,2,medium,low,,male,1990s,western_europe,arabic,,"juan_e._sandoval | peter_j._foy",,,2,2,,4,7,4,4,4,2,7,2,,,2,7,2,,7,,,,,4,,,4,4,4,,4,4,7,4,,,2,2,4,,,0,,2,4,,2,,4,,,,,2,2,4,2,4,,7,,,,,,,2,,7
"Brennan Lee Mulligan","Nathaniel Vetter","Brennan Lee Mulligan is a writer, actor, and game master known for his work in the field of tabletop role-playing games. He gained recognition for his role as the Dungeon Master in the web series ""Dimension 20"" by CollegeHumor. Mulligan is celebrated for his storytelling abilities, dynamic character portrayals, and his talent for creating immersive and engaging game worlds. His passion for the medium and his ability to captivate audiences have made him a beloved figure in the tabletop RPG community.",https://youtu.be/VLDFwkAa5fc,https://www.youtube.com/watch?v=oY1G-P-ZXF4,https://www.youtube.com/watch?v=LmZSWKPXhZ4,,,tesi,i-i-,seelie,0,,,,male,1980s,north_america,white/european,,"peter_j._foy | nathaniel_d._vetter",7,7,4,4,4,2,2,4,4,,2,7,4,4,4,,,,,,4,7,4,7,4,,,,,,4,7,2,4,2,4,4,4,,,,4,4,,2,,,,,,,,,,,,2,4,4,4,7,2,4,2,2,7,,,,
"Ari Aster","Nathaniel Vetter",,https://youtu.be/rcXIV9Y3ilc,,,,,neti,i-i-,adaptive,0,,,,male,-1,-1,-1,,,,,,,,7,7,2,4,2,4,4,2,7,2,2,4,4,,,4,4,2,2,2,,2,,7,4,2,,,2,,4,,,,4,4,4,7,4,,,,,,,,,,,,,4,4,4,2,4,2,,,,2,,,,
Devi,"Calin Copil",,https://www.youtube.com/watch?v=rkyTDFYX8pY,,,,,tise,i---,directive,1,,,,female,-1,-1,-1,,,7,7,4,2,2,2,2,4,2,2,,4,4,4,,4,2,2,,,2,4,2,,2,4,7,7,7,7,,2,,2,,2,,,,7,4,4,4,7,4,2,7,7,7,7,7,,4,2,7,2,,,,,,,,,,,2,,2,
"Renaud Contini","Juan E. Sandoval",,https://www.youtube.com/watch?v=ahfcrh-iIVA,,,,,feni,iiii,adaptive,0,,,,male,-1,-1,-1,,,7,7,4,4,7,,,2,2,,2,7,4,4,,,4,7,4,2,7,4,,7,7,4,7,2,4,7,2,,,,,,,,,4,7,7,7,4,4,7,4,,,4,7,4,2,,,,4,,,,7,,,,4,4,,,,
Xavier,"Peter Foy",,https://www.youtube.com/watch?v=le1pY6dsZB4&feature=youtu.be,https://youtu.be/na5jPVEFK4c,,,,feni,i-ii,adaptive,0,,,,male,-1,-1,-1,,"juan_e._sandoval | bella_hershkoviz",2,4,7,4,7,2,2,2,2,,,7,4,7,7,,4,2,,,4,4,2,7,7,4,2,2,4,4,2,,2,,2,4,2,,,4,4,4,4,4,4,4,,,4,7,7,7,2,2,,2,,,,,,,,,7,7,4,,2,2
"Peter Murphy","Ash Rose",,https://www.youtube.com/watch?v=TDwJzRHMF8Y,,,,,seti,ii--,directive,0,,,,male,-1,-1,-1,,,,2,2,2,,2,4,,4,,2,7,4,4,2,2,,2,7,2,,,,,,4,4,4,4,,,,,2,2,,,,,7,7,7,4,4,0,,7,,4,4,0,2,2,2,,,,,4,,4,2,,2,,,,,2,4
"Ron DeSantis","Calin Copil",,https://www.youtube.com/watch?v=nNftreqpUNA,,,,,tesi,i---,unseelie,1,,,,male,-1,-1,-1,,,7,7,7,7,,,,2,4,,,2,2,,4,,2,2,7,,7,7,,7,7,,,,4,,2,4,4,,2,7,7,7,2,,,,2,,4,4,,,,,,,,,,,7,2,7,7,2,,,,2,,,4,7,4
"Laura Mersini-Houghton","Calin Copil",,https://www.youtube.com/watch?v=pCjF1eM0LkE,,,,,nife,ii--,directive,2,,,,female,-1,-1,-1,,,,2,2,4,,4,4,2,7,4,,2,,2,,7,7,7,2,7,4,,,4,7,,2,2,2,4,,,,,,,,,,4,4,4,7,7,7,7,7,2,7,7,7,2,4,,2,,,,,,,,,,2,,,,2,2
"Ocean Ramsey","Calin Copil",,https://www.youtube.com/watch?v=EsTNifzYHRw,,,https://bit.ly/3MXLVQN,,tise,i--i,directive,0,,,,female,-1,-1,-1,,,7,7,4,4,4,,,,4,,,2,2,2,2,,,2,0,2,2,,,7,7,7,4,2,2,7,7,,2,2,2,2,,,2,2,4,4,4,2,7,7,2,2,7,4,7,,2,2,,,,,,,,,,,,2,,,2,2
"George Thompson","Peter Foy","George Thompson is a YouTuber who delves into Eastern philosophy on his channel. With a keen interest in various Eastern teachings, including Taoism, Buddhism, and Confucianism, he shares profound insights on mindfulness, self-discovery, and personal growth. Through his thought-provoking videos, George encourages viewers to embrace ancient wisdom, find inner peace, and lead fulfilling lives in alignment with Eastern principles. His content has garnered a dedicated community seeking spiritual guidance and philosophical understanding.",https://youtu.be/Ff5e0lf0xjE?t=2551,,,,,neti,i-i-,adaptive,0,,,,male,1990s,western_europe,white/european,,"juan_e._sandoval | calin_copil | peter_j._foy",2,,4,,,4,4,7,7,4,7,,4,7,2,,2,2,,,4,2,2,7,7,2,,,,2,,,,,,,,,,7,7,4,4,,7,7,2,,2,,,,2,2,,,7,4,2,2,,2,7,,2,7,4,,,
"Alexis Karl","Ash Rose",,https://www.youtube.com/watch?v=jtFeKt56tA8,,,,,nefi,iii-,seelie,0,,,,female,-1,-1,-1,,,0,2,2,2,2,4,4,2,4,4,7,4,4,4,4,0,0,4,0,0,2,4,2,4,7,4,4,2,0,7,4,7,4,4,0,4,2,4,4,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,4,4,7,2,4,0,4,0,4,7,4,0,0,0
"Julia Ducournau","Nathaniel Vetter",,https://youtu.be/wnbw4Lenzck,https://youtu.be/b62YWx8xy0w,https://youtu.be/3b4t7vSAKbQ,,,fine,ii-i,seelie,0,,,,female,-1,-1,-1,,,4,4,,,4,2,,,,,4,4,4,4,2,,,,,,4,4,,4,4,4,7,4,2,7,7,7,7,4,2,2,2,2,4,,,,,,,,,,,,,,,2,,2,4,7,4,4,,2,7,2,4,2,4,2,2,
Yungblud,"Peter Foy","Yungblud (real name Dominic Richard Harrison) is a British singer, songwriter, and musician known for his high-energy performances and socially conscious lyrics. Yungblud rose to prominence in the late 2010s with his fusion of punk rock, pop, and hip-hop influences. His music often addresses themes of youth rebellion, mental health, and social issues, resonating with a generation seeking an outlet for their frustrations and aspirations. Yungblud's passionate and charismatic stage presence, along with his bold fashion choices, have helped him cultivate a strong connection with his fanbase and make a strong impact on the 2020s alternative music scene. ",https://www.youtube.com/watch?v=cYPoPpoI5iU&t=211s,,,,peer_reviewed,sefi,i---,seelie,0,,,,male,1990s,western_europe,white/european,,"juan_e._sandoval | calin_copil",,,,,,7,7,4,2,2,4,4,7,2,7,2,,2,2,,,,,4,2,4,,,2,,4,4,7,7,2,2,,2,4,,,,,,,,,,7,2,7,7,7,4,2,2,,,,,,,,,2,4,2,,,2
"Famke Janssen","Calin Copil",,https://www.youtube.com/watch?v=Sjc01W__FuQ,,,,,tise,i--i,adaptive,1,,,,male,-1,-1,-1,,,7,7,2,2,,,2,2,2,,2,4,4,,,,,2,,,4,4,,7,4,7,4,4,2,7,2,,,,,2,2,,,4,7,7,7,7,4,4,7,2,4,4,7,,7,4,2,4,,,,,,,,,2,4,4,2,4,2
"Greg Puciato","Calin Copil","Greg Puciato is a multifaceted musician and artist known for his dynamic contributions to the music industry. He is a skilled vocalist and songwriter, recognized for his work with bands such as The Dillinger Escape Plan and Killer Be Killed. Puciato's musical versatility and intense stage presence have earned him a reputation as a prominent figure in the world of alternative and heavy music.
",https://www.youtube.com/watch?v=d2vpyDf2frM&ab_channel=TurboFrog,,,https://bit.ly/3T39M3M,,seti,i---,directive,2,,,,male,1980s,north_america,white/european,,,,,,2,,7,7,4,4,2,4,7,4,7,2,2,,,,,,2,2,4,2,2,2,,2,2,,,,,2,,,,,7,7,7,7,7,2,4,7,2,7,4,7,,7,7,4,7,,,,,4,,,,,2,,,2,2
"Vanessa Van Edwards","Calin Copil",,https://www.youtube.com/watch?v=4waTUMpW9FU&ab_channel=WomenofImpact,,,,,teni,i-i-,seelie,0,,,,female,-1,-1,-1,,,4,4,4,7,7,2,4,4,4,,4,4,4,2,7,,,2,2,,7,7,,7,7,,,,,2,4,7,4,4,2,4,7,4,2,,,,,,7,4,,,7,4,7,2,7,4,,2,,,,,,,,,2,2,2,,7,2
"Samuel L Jackson","Calin Copil",,https://www.youtube.com/watch?v=SDEVnAO6Oao,,,,,seti,i-ii,directive,1,,,,male,-1,-1,-1,,,,4,,4,,7,7,4,4,7,4,7,4,7,7,7,4,7,2,2,4,4,,7,4,2,2,2,2,2,,,,,2,2,2,,2,4,7,4,,4,4,4,,2,7,4,2,4,7,7,7,4,0,,,2,2,2,,,,2,,4,4,4
"Patrick Warburton","Jacquelyn Scott",,https://www.youtube.com/watch?v=c_yE97UGHZ4&t=,,,,,teni,i---,unseelie,0,,,,male,-1,-1,-1,,,,,,,,,,,,,4,,4,2,4,4,4,,,4,7,7,2,,4,,4,,,4,,4,4,2,7,7,,,2,,,2,2,,4,4,,,4,4,4,,,,7,7,,2,2,,,,,,,,,,,
"Dr. Justin Sledge","Jacquelyn Scott","Dr. Justin Sledge is a philosopher, podcaster, and educator known for his exploration and teaching of esoteric subjects. Through his YouTube channel ""Esoterica,"" Sledge delves into the realms of occultism, mysticism, and spirituality, blending ancient wisdom with contemporary insights. His channel features in-depth discussions, interviews, and analyses of diverse esoteric topics, offering listeners a deeper understanding of hidden knowledge and alternative perspectives on the nature of reality. ",https://www.youtube.com/watch?v=0i4uI7gFEpw,https://www.youtube.com/watch?v=feGRen_R8Fw,https://www.youtube.com/watch?v=ZBZBnUkQ5Jc,,,site,ii-i,unseelie,1,,,,male,1980s,north_america,white/european,,"juan_e._sandoval | jacquelyn_scott | peter_j._foy",2,4,2,2,2,4,,4,4,4,4,4,4,4,2,7,4,7,7,4,4,4,2,4,4,,4,,2,4,4,,,2,,4,4,7,4,,,,4,,4,2,,2,4,2,2,2,4,4,,2,4,2,4,4,2,2,4,2,0,,,2,,2
"Rick Owens","Calin Copil",,https://www.youtube.com/watch?v=R0NqydSer5I&ab_channel=SorbetMagazine,,,,,tine,i-i-,directive,2,,,,male,-1,-1,-1,,,4,7,2,,,2,2,7,,,2,4,4,,2,4,7,2,4,,2,4,,2,,7,7,2,4,2,,,,,,,,,,7,7,7,4,7,,2,7,2,,,,,2,,,4,4,4,2,7,4,2,4,,2,2,,2,,2
"Maddie Ziegler","Calin Copil",,https://www.youtube.com/watch?v=DFpzftO_Eik&ab_channel=Vogue,,,,,sefi,i---,seelie,0,,,,female,-1,-1,-1,,,,,,2,,7,7,7,,4,7,7,7,7,7,,,2,,,2,4,,4,2,2,4,,,2,7,4,4,7,4,7,7,2,2,,,,,,,,,2,7,7,7,0,7,7,2,2,,,,2,,,,,,2,2,0,4,2
"Ed Ruscha","Calin Copil",,https://www.youtube.com/watch?v=axIWBjwXRpY&ab_channel=YaleSchoolofArt,,,,,site,i---,unseelie,2,,,,male,-1,-1,-1,,,,,,,,7,2,7,,,,2,4,,,7,7,7,7,7,2,,,2,,,7,2,2,,4,,,7,4,2,2,2,,,,,,,,,,,,,4,2,2,,2,2,4,7,,7,2,,7,,,,,2,,2
